epoch,step,train/loss_box_reg_epoch,train/loss_box_reg_step,train/loss_classifier_epoch,train/loss_classifier_step,train/loss_objectness_epoch,train/loss_objectness_step,train/loss_rpn_box_reg_epoch,train/loss_rpn_box_reg_step,train/total_loss_epoch,train/total_loss_step
0,0,,0.13140130043029785,,0.6932752132415771,,0.010227205231785774,,0.5540515184402466,,1.3889552354812622
0,0,0.13140130043029785,,0.6932752132415771,,0.010227205231785774,,0.5540515184402466,,1.3889552354812622,
1,1,,0.08892034739255905,,0.6931349635124207,,0.01018135529011488,,0.17818965017795563,,0.9704263210296631
1,1,0.08892034739255905,,0.6931349635124207,,0.01018135529011488,,0.17818965017795563,,0.9704263210296631,
2,2,,0.09481941908597946,,0.6931102275848389,,0.010175874456763268,,0.032304923981428146,,0.8304104804992676
2,2,0.09481941908597946,,0.6931102275848389,,0.010175874456763268,,0.032304923981428146,,0.8304104804992676,
3,3,,0.08409835398197174,,0.6931758522987366,,0.01016286015510559,,0.015485194511711597,,0.802922248840332
3,3,0.08409835398197174,,0.6931758522987366,,0.01016286015510559,,0.015485194511711597,,0.802922248840332,
4,4,,0.0,,0.6927925944328308,,0.010262744501233101,,0.01573510281741619,,0.7187904119491577
4,4,0.0,,0.6927925944328308,,0.010262744501233101,,0.01573510281741619,,0.7187904119491577,
5,5,,0.09898453205823898,,0.6926743388175964,,0.010150453075766563,,0.025379901751875877,,0.8271892070770264
5,5,0.09898453205823898,,0.6926743388175964,,0.010150453075766563,,0.025379901751875877,,0.8271892070770264,
6,6,,0.0867573618888855,,0.692253589630127,,0.010218544863164425,,0.12706610560417175,,0.91629558801651
6,6,0.0867573618888855,,0.692253589630127,,0.010218544863164425,,0.12706610560417175,,0.91629558801651,
7,7,,0.0955151841044426,,0.6919568181037903,,0.010193923488259315,,0.09054211527109146,,0.8882080316543579
7,7,0.0955151841044426,,0.6919568181037903,,0.010193923488259315,,0.09054211527109146,,0.8882080316543579,
8,8,,0.08929443359375,,0.6919089555740356,,0.010066245682537556,,0.09454220533370972,,0.8858118653297424
8,8,0.08929443359375,,0.6919089555740356,,0.010066245682537556,,0.09454220533370972,,0.8858118653297424,
9,9,,0.09775755554437637,,0.6919159889221191,,0.014637583866715431,,0.1646629273891449,,0.9689741134643555
9,9,0.09775755554437637,,0.6919159889221191,,0.014637583866715431,,0.1646629273891449,,0.9689741134643555,
10,10,,0.09652357548475266,,0.691776692867279,,0.010140175931155682,,0.12612228095531464,,0.9245627522468567
10,10,0.09652357548475266,,0.691776692867279,,0.010140175931155682,,0.12612228095531464,,0.9245627522468567,
11,11,,0.07252411544322968,,0.6917431950569153,,0.010364629328250885,,0.18341627717018127,,0.9580482244491577
11,11,0.07252411544322968,,0.6917431950569153,,0.010364629328250885,,0.18341627717018127,,0.9580482244491577,
12,12,,0.09376741200685501,,0.6917180418968201,,0.010217051021754742,,0.15621532499790192,,0.951917827129364
12,12,0.09376741200685501,,0.6917180418968201,,0.010217051021754742,,0.15621532499790192,,0.951917827129364,
13,13,,0.0786864161491394,,0.6914142966270447,,0.010063310153782368,,0.8282504081726074,,1.6084144115447998
13,13,0.0786864161491394,,0.6914142966270447,,0.010063310153782368,,0.8282504081726074,,1.6084144115447998,
14,14,,0.09882229566574097,,0.6917402744293213,,0.010303654707968235,,0.09144678711891174,,0.8923130035400391
14,14,0.09882229566574097,,0.6917402744293213,,0.010303654707968235,,0.09144678711891174,,0.8923130035400391,
15,15,,0.16783809661865234,,0.6915095448493958,,0.010235549882054329,,0.02436598762869835,,0.8939491510391235
15,15,0.16783809661865234,,0.6915095448493958,,0.010235549882054329,,0.02436598762869835,,0.8939491510391235,
16,16,,0.08957847952842712,,0.6914742588996887,,0.010262735188007355,,0.20082280039787292,,0.9921382665634155
16,16,0.08957847952842712,,0.6914742588996887,,0.010262735188007355,,0.20082280039787292,,0.9921382665634155,
17,17,,0.09204971045255661,,0.6916746497154236,,0.010084636509418488,,0.13055568933486938,,0.9243646860122681
17,17,0.09204971045255661,,0.6916746497154236,,0.010084636509418488,,0.13055568933486938,,0.9243646860122681,
18,18,,0.09508032351732254,,0.6914302706718445,,0.010181165300309658,,0.2612350583076477,,1.057926893234253
18,18,0.09508032351732254,,0.6914302706718445,,0.010181165300309658,,0.2612350583076477,,1.057926893234253,
