epoch,has objects,step,train/loss_box_reg_epoch,train/loss_box_reg_step,train/loss_classifier_epoch,train/loss_classifier_step,train/loss_mask_epoch,train/loss_mask_step,train/loss_objectness_epoch,train/loss_objectness_step,train/loss_rpn_box_reg_epoch,train/loss_rpn_box_reg_step,train/total_loss_epoch,train/total_loss_step
0,1.0,0,,0.06138173118233681,,0.6927102208137512,,3.057572841644287,,0.6937664747238159,,1.175553798675537,,5.680985450744629
0,,0,0.06138173118233681,,0.6927102208137512,,3.057572841644287,,0.6937664747238159,,1.175553798675537,,5.680985450744629,
1,1.0,1,,0.07189369201660156,,0.6929425597190857,,0.04471166804432869,,0.6980019807815552,,1.4040567874908447,,2.911606788635254
1,,1,0.07189369201660156,,0.6929425597190857,,0.04471166804432869,,0.6980019807815552,,1.4040567874908447,,2.911606788635254,
2,1.0,2,,0.052340298891067505,,0.692450761795044,,1.1816116571426392,,0.6977261304855347,,0.1909082531929016,,2.815037250518799
2,,2,0.052340298891067505,,0.692450761795044,,1.1816116571426392,,0.6977261304855347,,0.1909082531929016,,2.815037250518799,
3,1.0,3,,0.0,,0.6925172209739685,,0.0,,0.6952719688415527,,0.7537143230438232,,2.1415035724639893
3,,3,0.0,,0.6925172209739685,,0.0,,0.6952719688415527,,0.7537143230438232,,2.1415035724639893,
4,1.0,4,,0.0,,0.6924015283584595,,0.0,,0.6858870983123779,,1.2623014450073242,,2.640590190887451
4,,4,0.0,,0.6924015283584595,,0.0,,0.6858870983123779,,1.2623014450073242,,2.640590190887451,
5,1.0,5,,0.13089150190353394,,0.6922710537910461,,0.35590118169784546,,0.6872432231903076,,1.1890642642974854,,3.0553712844848633
5,,5,0.13089150190353394,,0.6922710537910461,,0.35590118169784546,,0.6872432231903076,,1.1890642642974854,,3.0553712844848633,
6,1.0,6,,0.0,,0.6915116906166077,,0.0,,0.6865841746330261,,0.529647946357727,,1.9077436923980713
6,,6,0.0,,0.6915116906166077,,0.0,,0.6865841746330261,,0.529647946357727,,1.9077436923980713,
7,1.0,7,,0.10193049162626266,,0.6910363435745239,,0.35767605900764465,,0.6893770694732666,,0.1919233649969101,,2.0319433212280273
7,,7,0.10193049162626266,,0.6910363435745239,,0.35767605900764465,,0.6893770694732666,,0.1919233649969101,,2.0319433212280273,
8,1.0,8,,0.05208869278430939,,0.6912682056427002,,0.3573933243751526,,0.6809043884277344,,0.6966153979301453,,2.4782700538635254
8,,8,0.05208869278430939,,0.6912682056427002,,0.3573933243751526,,0.6809043884277344,,0.6966153979301453,,2.4782700538635254,
9,1.0,9,,0.07930150628089905,,0.691140353679657,,1.1503522396087646,,0.6808668375015259,,0.3899824619293213,,2.9916434288024902
9,,9,0.07930150628089905,,0.691140353679657,,1.1503522396087646,,0.6808668375015259,,0.3899824619293213,,2.9916434288024902,
10,1.0,10,,0.11367899924516678,,0.6913461089134216,,0.19587287306785583,,0.6799287796020508,,0.7883913516998291,,2.4692180156707764
10,,10,0.11367899924516678,,0.6913461089134216,,0.19587287306785583,,0.6799287796020508,,0.7883913516998291,,2.4692180156707764,
11,1.0,11,,0.08468921482563019,,0.690879762172699,,0.6231775879859924,,0.682237446308136,,1.8931353092193604,,3.974119186401367
11,,11,0.08468921482563019,,0.690879762172699,,0.6231775879859924,,0.682237446308136,,1.8931353092193604,,3.974119186401367,
12,1.0,12,,0.10160189867019653,,0.6908677816390991,,0.5500710606575012,,0.6759300231933594,,0.14712458848953247,,2.165595293045044
12,,12,0.10160189867019653,,0.6908677816390991,,0.5500710606575012,,0.6759300231933594,,0.14712458848953247,,2.165595293045044,
13,1.0,13,,0.09552909433841705,,0.6909862756729126,,0.7134580612182617,,0.6832088232040405,,0.34305045008659363,,2.5262327194213867
13,,13,0.09552909433841705,,0.6909862756729126,,0.7134580612182617,,0.6832088232040405,,0.34305045008659363,,2.5262327194213867,
14,1.0,14,,0.08709577471017838,,0.6913210153579712,,0.5542628765106201,,0.6867039203643799,,0.7799210548400879,,2.799304723739624
14,,14,0.08709577471017838,,0.6913210153579712,,0.5542628765106201,,0.6867039203643799,,0.7799210548400879,,2.799304723739624,
15,1.0,15,,0.12600108981132507,,0.6910063624382019,,0.2949678301811218,,0.6788371205329895,,0.6410472393035889,,2.4318597316741943
15,,15,0.12600108981132507,,0.6910063624382019,,0.2949678301811218,,0.6788371205329895,,0.6410472393035889,,2.4318597316741943,
16,1.0,16,,0.14045503735542297,,0.6911820769309998,,0.33582231402397156,,0.683673620223999,,0.15555733442306519,,2.006690263748169
16,,16,0.14045503735542297,,0.6911820769309998,,0.33582231402397156,,0.683673620223999,,0.15555733442306519,,2.006690263748169,
17,1.0,17,,0.10069645196199417,,0.6906123161315918,,0.2300543487071991,,0.6823943853378296,,0.4785816967487335,,2.1823391914367676
17,,17,0.10069645196199417,,0.6906123161315918,,0.2300543487071991,,0.6823943853378296,,0.4785816967487335,,2.1823391914367676,
18,1.0,18,,0.10346747189760208,,0.6906768679618835,,0.1547975242137909,,0.6788532733917236,,3.019801616668701,,4.647596836090088
18,,18,0.10346747189760208,,0.6906768679618835,,0.1547975242137909,,0.6788532733917236,,3.019801616668701,,4.647596836090088,
19,1.0,19,,0.11274858564138412,,0.6909784078598022,,0.4534454047679901,,0.6777676939964294,,0.5205068588256836,,2.45544695854187
19,,19,0.11274858564138412,,0.6909784078598022,,0.4534454047679901,,0.6777676939964294,,0.5205068588256836,,2.45544695854187,
20,1.0,20,,0.08416946232318878,,0.6911540031433105,,0.28699934482574463,,0.6808100938796997,,0.6429650783538818,,2.3860979080200195
20,,20,0.08416946232318878,,0.6911540031433105,,0.28699934482574463,,0.6808100938796997,,0.6429650783538818,,2.3860979080200195,
21,1.0,21,,0.10101138055324554,,0.6907255053520203,,0.37458908557891846,,0.6814244985580444,,0.8209221363067627,,2.668672561645508
21,,21,0.10101138055324554,,0.6907255053520203,,0.37458908557891846,,0.6814244985580444,,0.8209221363067627,,2.668672561645508,
22,1.0,22,,0.06945012509822845,,0.6904167532920837,,0.8035730123519897,,0.6766146421432495,,1.2579498291015625,,3.49800443649292
22,,22,0.06945012509822845,,0.6904167532920837,,0.8035730123519897,,0.6766146421432495,,1.2579498291015625,,3.49800443649292,
23,1.0,23,,0.08539114147424698,,0.6909151077270508,,0.6327878832817078,,0.679928183555603,,0.8826240301132202,,2.971646308898926
23,,23,0.08539114147424698,,0.6909151077270508,,0.6327878832817078,,0.679928183555603,,0.8826240301132202,,2.971646308898926,
24,1.0,24,,0.05784023925662041,,0.6905716061592102,,0.4909602403640747,,0.6774916648864746,,1.3730745315551758,,3.289938449859619
24,,24,0.05784023925662041,,0.6905716061592102,,0.4909602403640747,,0.6774916648864746,,1.3730745315551758,,3.289938449859619,
