epoch,step,train/loss_box_reg_epoch,train/loss_box_reg_step,train/loss_classifier_epoch,train/loss_classifier_step,train/loss_mask_epoch,train/loss_mask_step,train/loss_objectness_epoch,train/loss_objectness_step,train/loss_rpn_box_reg_epoch,train/loss_rpn_box_reg_step,train/total_loss_epoch,train/total_loss_step
0,0,,-0.0,,0.6921130418777466,,-0.0,,0.7123775482177734,,0.0,,1.40449059009552
0,0,0.0,,0.6921130418777466,,0.0,,0.7123775482177734,,0.0,,1.40449059009552,
1,1,,-0.0,,0.692046046257019,,-0.0,,0.684630274772644,,0.0,,1.376676321029663
1,1,0.0,,0.692046046257019,,0.0,,0.684630274772644,,0.0,,1.376676321029663,
2,2,,-0.0,,0.6919189095497131,,-0.0,,0.698647141456604,,0.0,,1.390566110610962
2,2,0.0,,0.6919189095497131,,0.0,,0.698647141456604,,0.0,,1.390566110610962,
3,3,,-0.0,,0.6917319297790527,,-0.0,,0.696287989616394,,0.0,,1.3880199193954468
3,3,0.0,,0.6917319297790527,,0.0,,0.696287989616394,,0.0,,1.3880199193954468,
4,4,,-0.0,,0.6915035843849182,,-0.0,,0.6881012916564941,,0.0,,1.3796048164367676
4,4,0.0,,0.6915035843849182,,0.0,,0.6881012916564941,,0.0,,1.3796048164367676,
5,5,,-0.0,,0.6912317872047424,,-0.0,,0.7172938585281372,,0.0,,1.4085257053375244
5,5,0.0,,0.6912317872047424,,0.0,,0.7172938585281372,,0.0,,1.4085257053375244,
6,6,,-0.0,,0.6909173727035522,,-0.0,,0.706322431564331,,0.0,,1.3972398042678833
6,6,0.0,,0.6909173727035522,,0.0,,0.706322431564331,,0.0,,1.3972398042678833,
7,7,,-0.0,,0.6905670166015625,,-0.0,,0.6981053352355957,,0.0,,1.3886723518371582
7,7,0.0,,0.6905670166015625,,0.0,,0.6981053352355957,,0.0,,1.3886723518371582,
8,8,,-0.0,,0.690189778804779,,-0.0,,0.7185081243515015,,0.0,,1.4086978435516357
8,8,0.0,,0.690189778804779,,0.0,,0.7185081243515015,,0.0,,1.4086978435516357,
9,9,,-0.0,,0.6901473999023438,,-0.0,,0.6975806951522827,,0.0,,1.3877280950546265
9,9,0.0,,0.6901473999023438,,0.0,,0.6975806951522827,,0.0,,1.3877280950546265,
10,10,,-0.0,,0.6901003122329712,,-0.0,,0.689342737197876,,0.0,,1.3794430494308472
10,10,0.0,,0.6901003122329712,,0.0,,0.689342737197876,,0.0,,1.3794430494308472,
11,11,,-0.0,,0.6900588870048523,,-0.0,,0.7187301516532898,,0.0,,1.408789038658142
11,11,0.0,,0.6900588870048523,,0.0,,0.7187301516532898,,0.0,,1.408789038658142,
12,12,,-0.0,,0.6900113821029663,,-0.0,,0.6936379671096802,,0.0,,1.3836493492126465
12,12,0.0,,0.6900113821029663,,0.0,,0.6936379671096802,,0.0,,1.3836493492126465,
13,13,,-0.0,,0.6899623274803162,,-0.0,,0.6891742944717407,,0.0,,1.379136562347412
13,13,0.0,,0.6899623274803162,,0.0,,0.6891742944717407,,0.0,,1.379136562347412,
14,14,,-0.0,,0.689909815788269,,-0.0,,0.6930584907531738,,0.0,,1.3829683065414429
14,14,0.0,,0.689909815788269,,0.0,,0.6930584907531738,,0.0,,1.3829683065414429,
15,15,,-0.0,,0.6898530125617981,,-0.0,,0.6839369535446167,,0.0,,1.3737900257110596
15,15,0.0,,0.6898530125617981,,0.0,,0.6839369535446167,,0.0,,1.3737900257110596,
16,16,,-0.0,,0.6898019313812256,,-0.0,,0.6910022497177124,,0.0,,1.380804181098938
16,16,0.0,,0.6898019313812256,,0.0,,0.6910022497177124,,0.0,,1.380804181098938,
17,17,,-0.0,,0.6897958517074585,,-0.0,,0.6895813941955566,,0.0,,1.3793772459030151
17,17,0.0,,0.6897958517074585,,0.0,,0.6895813941955566,,0.0,,1.3793772459030151,
18,18,,-0.0,,0.6897903084754944,,-0.0,,0.6757631301879883,,0.0,,1.365553379058838
18,18,0.0,,0.6897903084754944,,0.0,,0.6757631301879883,,0.0,,1.365553379058838,
19,19,,-0.0,,0.6897859573364258,,-0.0,,0.6667156219482422,,0.0,,1.356501579284668
19,19,0.0,,0.6897859573364258,,0.0,,0.6667156219482422,,0.0,,1.356501579284668,
