epoch,step,train_box_loss_epoch,train_box_loss_step,train_center_loss_epoch,train_center_loss_step,train_instance_cls_loss_epoch,train_instance_cls_loss_step,train_mask_loss_epoch,train_mask_loss_step,train_semantic_loss_epoch,train_semantic_loss_step,train_total_loss_epoch,train_total_loss_step
0,0,,113.863525390625,,0.4476192593574524,,0.6934554576873779,,0.6081715822219849,,0.23633083701133728,,115.84910583496094
0,0,113.863525390625,,0.4476192593574524,,0.6934554576873779,,0.6081715822219849,,0.23633083701133728,,115.84910583496094,
1,1,,120.45645904541016,,0.4517003893852234,,0.6910364627838135,,0.7014020085334778,,0.20479756593704224,,122.50540161132812
1,1,120.45645904541016,,0.4517003893852234,,0.6910364627838135,,0.7014020085334778,,0.20479756593704224,,122.50540161132812,
2,2,,189.5621795654297,,0.4728749990463257,,0.6751419901847839,,0.6399674415588379,,0.21053612232208252,,191.56069946289062
2,2,189.5621795654297,,0.4728749990463257,,0.6751419901847839,,0.6399674415588379,,0.21053612232208252,,191.56069946289062,
3,3,,96.09193420410156,,0.42056921124458313,,0.6947075128555298,,0.5853745937347412,,0.20624388754367828,,97.99883270263672
3,3,96.09193420410156,,0.42056921124458313,,0.6947075128555298,,0.5853745937347412,,0.20624388754367828,,97.99883270263672,
4,4,,140.4946746826172,,0.4025110900402069,,0.682045578956604,,0.650139570236206,,0.2900731861591339,,142.5194549560547
4,4,140.4946746826172,,0.4025110900402069,,0.682045578956604,,0.650139570236206,,0.2900731861591339,,142.5194549560547,
5,5,,92.31023406982422,,0.4030528962612152,,0.6908913850784302,,0.5992919206619263,,0.1801309436559677,,94.18360137939453
5,5,92.31023406982422,,0.4030528962612152,,0.6908913850784302,,0.5992919206619263,,0.1801309436559677,,94.18360137939453,
6,6,,150.62924194335938,,0.42934441566467285,,0.6776505708694458,,0.6500465869903564,,0.26987919211387634,,152.65615844726562
6,6,150.62924194335938,,0.42934441566467285,,0.6776505708694458,,0.6500465869903564,,0.26987919211387634,,152.65615844726562,
7,7,,222.8826141357422,,0.4136900007724762,,0.6786614060401917,,0.6650457382202148,,0.3540574610233307,,224.9940643310547
7,7,222.8826141357422,,0.4136900007724762,,0.6786614060401917,,0.6650457382202148,,0.3540574610233307,,224.9940643310547,
8,8,,86.86551666259766,,0.33658453822135925,,0.6921471357345581,,0.5827242136001587,,0.1725006103515625,,88.64947509765625
8,8,86.86551666259766,,0.33658453822135925,,0.6921471357345581,,0.5827242136001587,,0.1725006103515625,,88.64947509765625,
9,9,,91.13185119628906,,0.38280144333839417,,0.7034294605255127,,0.560423731803894,,0.37839484214782715,,93.15690612792969
9,9,91.13185119628906,,0.38280144333839417,,0.7034294605255127,,0.560423731803894,,0.37839484214782715,,93.15690612792969,
10,10,,101.16194915771484,,0.4099714756011963,,0.694986879825592,,0.5824131369590759,,0.19670100510120392,,103.0460205078125
10,10,101.16194915771484,,0.4099714756011963,,0.694986879825592,,0.5824131369590759,,0.19670100510120392,,103.0460205078125,
11,11,,185.88157653808594,,0.37851130962371826,,0.6733282208442688,,0.6272150278091431,,0.21056462824344635,,187.7711944580078
11,11,185.88157653808594,,0.37851130962371826,,0.6733282208442688,,0.6272150278091431,,0.21056462824344635,,187.7711944580078,
12,12,,123.99559783935547,,0.36250585317611694,,0.6935773491859436,,0.5638030767440796,,0.14394712448120117,,125.75943756103516
12,12,123.99559783935547,,0.36250585317611694,,0.6935773491859436,,0.5638030767440796,,0.14394712448120117,,125.75943756103516,
13,13,,144.1132354736328,,0.36363640427589417,,0.69210284948349,,0.5587027668952942,,0.19564013183116913,,145.92332458496094
13,13,144.1132354736328,,0.36363640427589417,,0.69210284948349,,0.5587027668952942,,0.19564013183116913,,145.92332458496094,
14,14,,96.63835906982422,,0.40489086508750916,,0.6914514303207397,,0.5802180767059326,,0.46073371171951294,,98.77565002441406
14,14,96.63835906982422,,0.40489086508750916,,0.6914514303207397,,0.5802180767059326,,0.46073371171951294,,98.77565002441406,
15,15,,111.46358489990234,,0.3424588441848755,,0.6768897771835327,,0.609154224395752,,0.1773621141910553,,113.26944732666016
15,15,111.46358489990234,,0.3424588441848755,,0.6768897771835327,,0.609154224395752,,0.1773621141910553,,113.26944732666016,
16,16,,166.71868896484375,,0.33816471695899963,,0.6910538673400879,,0.4734363257884979,,0.11676087975502014,,168.33810424804688
16,16,166.71868896484375,,0.33816471695899963,,0.6910538673400879,,0.4734363257884979,,0.11676087975502014,,168.33810424804688,
17,17,,82.9285888671875,,0.30301740765571594,,0.6873914003372192,,0.5432126522064209,,0.22602622210979462,,84.68824005126953
17,17,82.9285888671875,,0.30301740765571594,,0.6873914003372192,,0.5432126522064209,,0.22602622210979462,,84.68824005126953,
18,18,,83.044189453125,,0.31941378116607666,,0.7015515565872192,,0.5413424968719482,,0.37672680616378784,,84.98323059082031
18,18,83.044189453125,,0.31941378116607666,,0.7015515565872192,,0.5413424968719482,,0.37672680616378784,,84.98323059082031,
19,19,,183.27610778808594,,0.33567914366722107,,0.6665414571762085,,0.5648803114891052,,0.16511306166648865,,185.00831604003906
19,19,183.27610778808594,,0.33567914366722107,,0.6665414571762085,,0.5648803114891052,,0.16511306166648865,,185.00831604003906,
20,20,,61.55318832397461,,0.33258873224258423,,0.7001339197158813,,0.5479106307029724,,0.2214520126581192,,63.35527038574219
20,20,61.55318832397461,,0.33258873224258423,,0.7001339197158813,,0.5479106307029724,,0.2214520126581192,,63.35527038574219,
21,21,,140.8797607421875,,0.30462124943733215,,0.6843520402908325,,0.5323790311813354,,0.148158460855484,,142.5492706298828
21,21,140.8797607421875,,0.30462124943733215,,0.6843520402908325,,0.5323790311813354,,0.148158460855484,,142.5492706298828,
22,22,,212.484619140625,,0.3065926730632782,,0.6656404733657837,,0.5338800549507141,,0.22892990708351135,,214.2196502685547
22,22,212.484619140625,,0.3065926730632782,,0.6656404733657837,,0.5338800549507141,,0.22892990708351135,,214.2196502685547,
23,23,,92.15709686279297,,0.27683374285697937,,0.7037496566772461,,0.49349352717399597,,0.1755063384771347,,93.80667877197266
23,23,92.15709686279297,,0.27683374285697937,,0.7037496566772461,,0.49349352717399597,,0.1755063384771347,,93.80667877197266,
24,24,,182.55630493164062,,0.3018975555896759,,0.6818807721138,,0.5037195086479187,,0.2591478228569031,,184.30296325683594
24,24,182.55630493164062,,0.3018975555896759,,0.6818807721138,,0.5037195086479187,,0.2591478228569031,,184.30296325683594,
25,25,,114.0029296875,,0.28937262296676636,,0.6903114914894104,,0.4927452504634857,,0.1634051501750946,,115.63876342773438
25,25,114.0029296875,,0.28937262296676636,,0.6903114914894104,,0.4927452504634857,,0.1634051501750946,,115.63876342773438,
26,26,,102.33650207519531,,0.28360727429389954,,0.6986832618713379,,0.43557268381118774,,0.1476466953754425,,103.90200805664062
26,26,102.33650207519531,,0.28360727429389954,,0.6986832618713379,,0.43557268381118774,,0.1476466953754425,,103.90200805664062,
27,27,,134.73562622070312,,0.2876724600791931,,0.6780686378479004,,0.49535071849823,,0.20733456313610077,,136.404052734375
27,27,134.73562622070312,,0.2876724600791931,,0.6780686378479004,,0.49535071849823,,0.20733456313610077,,136.404052734375,
28,28,,64.59927368164062,,0.25791454315185547,,0.6972876191139221,,0.45008692145347595,,0.21676836907863617,,66.2213363647461
28,28,64.59927368164062,,0.25791454315185547,,0.6972876191139221,,0.45008692145347595,,0.21676836907863617,,66.2213363647461,
29,29,,121.50721740722656,,0.260539174079895,,0.6849038004875183,,0.4354376792907715,,0.18451397120952606,,123.07261657714844
29,29,121.50721740722656,,0.260539174079895,,0.6849038004875183,,0.4354376792907715,,0.18451397120952606,,123.07261657714844,
30,30,,147.34144592285156,,0.24816960096359253,,0.6848385334014893,,0.4007713496685028,,0.1811753809452057,,148.85641479492188
30,30,147.34144592285156,,0.24816960096359253,,0.6848385334014893,,0.4007713496685028,,0.1811753809452057,,148.85641479492188,
31,31,,166.3079071044922,,0.25286146998405457,,0.6757380962371826,,0.45430615544319153,,0.17529794573783875,,167.86610412597656
31,31,166.3079071044922,,0.25286146998405457,,0.6757380962371826,,0.45430615544319153,,0.17529794573783875,,167.86610412597656,
32,32,,118.5218734741211,,0.25850334763526917,,0.6755563020706177,,0.4319934844970703,,0.146515890955925,,120.0344467163086
32,32,118.5218734741211,,0.25850334763526917,,0.6755563020706177,,0.4319934844970703,,0.146515890955925,,120.0344467163086,
33,33,,74.97655487060547,,0.2709474563598633,,0.7012225985527039,,0.4395013451576233,,0.19154757261276245,,76.57977294921875
33,33,74.97655487060547,,0.2709474563598633,,0.7012225985527039,,0.4395013451576233,,0.19154757261276245,,76.57977294921875,
34,34,,97.07840728759766,,0.21985812485218048,,0.6885124444961548,,0.36398664116859436,,0.18170484900474548,,98.532470703125
34,34,97.07840728759766,,0.21985812485218048,,0.6885124444961548,,0.36398664116859436,,0.18170484900474548,,98.532470703125,
35,35,,116.0549545288086,,0.32725390791893005,,0.6769101619720459,,0.4596898555755615,,0.4714968800544739,,117.99030303955078
35,35,116.0549545288086,,0.32725390791893005,,0.6769101619720459,,0.4596898555755615,,0.4714968800544739,,117.99030303955078,
36,36,,80.47590637207031,,0.22325696051120758,,0.7109959125518799,,0.41443806886672974,,0.1399088203907013,,81.96450805664062
36,36,80.47590637207031,,0.22325696051120758,,0.7109959125518799,,0.41443806886672974,,0.1399088203907013,,81.96450805664062,
37,37,,156.57334899902344,,0.20728525519371033,,0.6804760694503784,,0.409145712852478,,0.19987136125564575,,158.07012939453125
37,37,156.57334899902344,,0.20728525519371033,,0.6804760694503784,,0.409145712852478,,0.19987136125564575,,158.07012939453125,
38,38,,153.92259216308594,,0.237088143825531,,0.671842634677887,,0.3782571852207184,,0.1325482726097107,,155.34231567382812
38,38,153.92259216308594,,0.237088143825531,,0.671842634677887,,0.3782571852207184,,0.1325482726097107,,155.34231567382812,
39,39,,143.34629821777344,,0.23454049229621887,,0.6744293570518494,,0.42848384380340576,,0.15553338825702667,,144.8392791748047
39,39,143.34629821777344,,0.23454049229621887,,0.6744293570518494,,0.42848384380340576,,0.15553338825702667,,144.8392791748047,
40,40,,48.506839752197266,,0.2807252109050751,,0.7107986211776733,,0.41192030906677246,,0.36009103059768677,,50.2703742980957
40,40,48.506839752197266,,0.2807252109050751,,0.7107986211776733,,0.41192030906677246,,0.36009103059768677,,50.2703742980957,
41,41,,100.00030517578125,,0.26625561714172363,,0.686002254486084,,0.4251921772956848,,0.14910642802715302,,101.52686309814453
41,41,100.00030517578125,,0.26625561714172363,,0.686002254486084,,0.4251921772956848,,0.14910642802715302,,101.52686309814453,
42,42,,122.05172729492188,,0.20914271473884583,,0.6906163692474365,,0.3278215527534485,,0.17077571153640747,,123.45008087158203
42,42,122.05172729492188,,0.20914271473884583,,0.6906163692474365,,0.3278215527534485,,0.17077571153640747,,123.45008087158203,
43,43,,157.86367797851562,,0.23108546435832977,,0.6658084988594055,,0.40632006525993347,,0.1740979701280594,,159.3409881591797
43,43,157.86367797851562,,0.23108546435832977,,0.6658084988594055,,0.40632006525993347,,0.1740979701280594,,159.3409881591797,
44,44,,63.573089599609375,,0.20534248650074005,,0.7041152119636536,,0.3936343193054199,,0.1677195429801941,,65.04389953613281
44,44,63.573089599609375,,0.20534248650074005,,0.7041152119636536,,0.3936343193054199,,0.1677195429801941,,65.04389953613281,
45,45,,131.0402374267578,,0.24686753749847412,,0.6780940890312195,,0.3981552720069885,,0.14170260727405548,,132.50506591796875
45,45,131.0402374267578,,0.24686753749847412,,0.6780940890312195,,0.3981552720069885,,0.14170260727405548,,132.50506591796875,
46,46,,66.57437896728516,,0.21851901710033417,,0.7104624509811401,,0.40178194642066956,,0.17493343353271484,,68.080078125
46,46,66.57437896728516,,0.21851901710033417,,0.7104624509811401,,0.40178194642066956,,0.17493343353271484,,68.080078125,
47,47,,118.9989242553711,,0.19817163050174713,,0.6815942525863647,,0.3791680335998535,,0.12534457445144653,,120.3832015991211
47,47,118.9989242553711,,0.19817163050174713,,0.6815942525863647,,0.3791680335998535,,0.12534457445144653,,120.3832015991211,
48,48,,147.62123107910156,,0.2265515923500061,,0.6586637496948242,,0.39256978034973145,,0.16353455185890198,,149.0625457763672
48,48,147.62123107910156,,0.2265515923500061,,0.6586637496948242,,0.39256978034973145,,0.16353455185890198,,149.0625457763672,
49,49,,59.31789779663086,,0.22886474430561066,,0.700316846370697,,0.3950500190258026,,0.12063774466514587,,60.76276779174805
